group,number_in_group,home_planet,cryo_sleep,deck,num_in_cabin,side,destination,age,vip,room_service,food_court,shopping_mall,spa,vr_deck,total_spending,transported
102,1,Earth,False,F,23,S,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,921.0,0
103,2,Earth,True,G,18,S,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
103,3,Earth,True,G,18,S,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
107,1,Mars,False,D,2,S,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,1765.0,0
108,1,Earth,True,G,19,S,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
110,3,Europa,False,B,5,P,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,15940.0,1
110,4,Europa,True,B,5,P,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
111,1,Europa,True,E,6,S,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
112,1,Europa,False,B,1,S,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,2654.0,1
113,1,Earth,False,F,23,P,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,804.0,1
114,1,Earth,False,G,20,S,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,907.0,0
116,1,Europa,False,D,4,P,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,2640.0,1
119,2,Europa,True,A,0,P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
122,1,Earth,False,G,21,S,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,773.0,0
123,1,Earth,False,F,27,P,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,702.0,0
126,1,Mars,True,F,27,S,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
127,1,Mars,False,E,7,S,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,1022.0,0
128,1,Mars,False,D,3,S,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,3014.0,0
128,2,Mars,False,E,8,S,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,2109.0,0
133,1,Mars,True,F,29,S,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
133,2,Mars,False,D,5,S,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,2738.0,0
134,1,Earth,False,G,17,P,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,744.0,1
138,1,Earth,True,G,18,P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
139,1,Europa,True,C,6,S,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
140,1,Earth,True,G,19,P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
140,2,Earth,False,F,29,P,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,902.0,0
144,1,Earth,False,F,31,S,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,630.0,1
146,1,Earth,False,G,25,S,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
147,1,Earth,True,G,26,S,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
148,1,Mars,False,F,31,P,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,1158.0,0
151,1,Earth,True,G,20,P,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
160,1,Earth,False,G,22,P,TRAPPIST-1e,22.0,False,4119.0,0.0,0.0,0.0,61.0,4180.0,0
163,1,Europa,True,B,8,P,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
163,2,Europa,True,B,8,P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
164,2,Earth,True,G,28,S,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
167,1,Mars,True,F,35,S,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
167,2,Mars,False,F,35,S,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,1572.0,0
169,1,Earth,True,G,23,P,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
170,1,Earth,False,E,10,S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,788.0,0
171,1,Earth,True,G,30,S,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
172,1,Earth,True,G,24,P,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
174,1,Earth,False,F,38,P,55 Cancri e,21.0,False,287.0,0.0,16.0,115.0,175.0,593.0,0
177,1,Europa,False,B,2,S,TRAPPIST-1e,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,27428.0,0
178,1,Mars,False,D,6,S,TRAPPIST-1e,38.0,False,3414.0,0.0,161.0,28.0,119.0,3722.0,0
179,1,Earth,False,G,26,P,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,906.0,1
179,2,Earth,False,G,26,P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
179,3,Earth,False,G,26,P,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
181,1,Earth,False,G,27,P,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,394.0,0
182,1,Europa,True,C,3,P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
183,1,Earth,False,F,36,S,TRAPPIST-1e,37.0,False,17.0,146.0,426.0,0.0,232.0,821.0,1
186,1,Earth,False,G,28,P,TRAPPIST-1e,25.0,False,62.0,0.0,0.0,0.0,956.0,1018.0,0
188,1,Earth,True,G,31,S,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
189,1,Earth,False,E,8,P,55 Cancri e,49.0,False,84.0,3.0,401.0,202.0,98.0,788.0,0
192,1,Earth,True,G,29,P,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
192,2,Earth,False,G,29,P,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
192,3,Earth,False,G,29,P,TRAPPIST-1e,39.0,False,0.0,0.0,10.0,898.0,0.0,908.0,0
193,1,Mars,True,F,41,P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
193,3,Mars,False,F,41,P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
195,1,Mars,False,F,42,P,TRAPPIST-1e,39.0,False,406.0,0.0,867.0,0.0,0.0,1273.0,1
196,1,Mars,False,D,5,P,PSO J318.5-22,25.0,False,1052.0,0.0,719.0,0.0,7.0,1778.0,0
197,1,Europa,False,C,5,P,TRAPPIST-1e,36.0,False,0.0,972.0,0.0,795.0,575.0,2342.0,0
199,1,Earth,True,G,33,S,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
200,1,Earth,True,G,31,P,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
201,1,Europa,True,B,3,S,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
201,2,Europa,True,B,3,S,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
202,1,Europa,True,B,9,P,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
203,1,Europa,True,C,8,S,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
205,1,Earth,False,G,34,S,TRAPPIST-1e,29.0,False,0.0,2.0,66.0,0.0,705.0,773.0,0
207,1,Earth,True,G,32,P,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
211,1,Mars,False,F,44,P,TRAPPIST-1e,29.0,False,902.0,1.0,137.0,0.0,0.0,1040.0,1
211,2,Mars,True,F,44,P,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
211,3,Mars,False,F,44,P,TRAPPIST-1e,17.0,False,848.0,0.0,307.0,182.0,0.0,1337.0,0
212,1,Earth,False,E,9,P,TRAPPIST-1e,13.0,False,192.0,0.0,0.0,51.0,739.0,982.0,0
212,2,Earth,False,F,45,P,TRAPPIST-1e,35.0,False,147.0,188.0,0.0,10.0,387.0,732.0,0
213,1,Earth,False,F,46,P,TRAPPIST-1e,21.0,False,367.0,281.0,0.0,0.0,146.0,794.0,0
216,1,Earth,False,F,40,S,55 Cancri e,21.0,False,0.0,56.0,0.0,0.0,1918.0,1974.0,0
217,1,Earth,False,F,47,P,TRAPPIST-1e,38.0,False,1517.0,0.0,0.0,27.0,0.0,1544.0,0
219,1,Earth,True,G,36,P,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
220,1,Earth,True,G,37,P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
220,2,Earth,False,G,37,P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
220,3,Earth,True,G,37,P,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
220,5,Earth,False,F,48,P,TRAPPIST-1e,16.0,False,0.0,3.0,0.0,0.0,1099.0,1102.0,0
220,6,Earth,False,G,37,P,55 Cancri e,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
220,7,Earth,True,G,37,P,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
221,1,Mars,False,E,13,S,55 Cancri e,21.0,False,2237.0,0.0,119.0,0.0,0.0,2356.0,0
221,2,Mars,False,E,13,S,TRAPPIST-1e,23.0,False,1215.0,80.0,1.0,2.0,0.0,1298.0,0
221,3,Mars,False,E,13,S,TRAPPIST-1e,33.0,False,1933.0,12.0,188.0,1.0,0.0,2134.0,0
221,4,Mars,True,E,13,S,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
221,5,Mars,False,E,13,S,TRAPPIST-1e,41.0,False,1230.0,0.0,301.0,43.0,1023.0,2597.0,0
221,6,Mars,False,E,13,S,TRAPPIST-1e,16.0,False,915.0,0.0,221.0,234.0,0.0,1370.0,0
221,7,Mars,True,E,13,S,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
222,1,Mars,False,F,41,S,TRAPPIST-1e,20.0,False,1406.0,0.0,0.0,11.0,0.0,1417.0,0
222,2,Mars,True,F,41,S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
222,3,Mars,True,E,14,S,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
223,1,Earth,False,G,35,S,TRAPPIST-1e,21.0,False,0.0,2.0,665.0,0.0,9.0,676.0,0
224,1,Mars,False,F,42,S,TRAPPIST-1e,32.0,True,181.0,0.0,5.0,1634.0,0.0,1820.0,0
225,1,Earth,True,G,38,P,PSO J318.5-22,58.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
229,1,Earth,False,F,43,S,TRAPPIST-1e,24.0,False,4.0,7.0,0.0,713.0,79.0,803.0,0
231,1,Mars,False,F,44,S,TRAPPIST-1e,30.0,False,85.0,0.0,1.0,1720.0,0.0,1806.0,0
233,1,Mars,False,F,45,S,TRAPPIST-1e,32.0,False,56.0,0.0,256.0,1438.0,0.0,1750.0,0
237,1,Europa,True,B,11,P,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
240,1,Mars,True,F,52,P,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
243,1,Earth,True,G,37,S,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
245,1,Europa,False,C,6,P,55 Cancri e,46.0,False,0.0,3571.0,0.0,0.0,7.0,3578.0,1
245,2,Europa,False,C,6,P,TRAPPIST-1e,33.0,False,0.0,86.0,796.0,584.0,10912.0,12378.0,0
246,1,Mars,False,D,8,P,TRAPPIST-1e,21.0,False,2947.0,0.0,287.0,27.0,0.0,3261.0,0
248,1,Europa,False,C,10,S,TRAPPIST-1e,33.0,False,0.0,1.0,0.0,8620.0,1063.0,9684.0,0
252,1,Earth,False,F,53,P,TRAPPIST-1e,30.0,False,335.0,695.0,541.0,0.0,0.0,1571.0,0
253,1,Earth,False,G,42,P,TRAPPIST-1e,29.0,False,272.0,615.0,0.0,0.0,1.0,888.0,0
254,1,Earth,False,F,54,P,TRAPPIST-1e,21.0,False,702.0,172.0,408.0,2.0,6.0,1290.0,1
255,1,Europa,True,A,3,S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
257,2,Mars,True,F,49,S,TRAPPIST-1e,60.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
258,1,Earth,False,F,50,S,TRAPPIST-1e,22.0,False,0.0,0.0,313.0,299.0,92.0,704.0,0
260,1,Europa,False,E,16,S,TRAPPIST-1e,26.0,False,0.0,4810.0,0.0,981.0,2054.0,7845.0,0
261,1,Earth,False,F,56,P,TRAPPIST-1e,26.0,False,66.0,29.0,0.0,0.0,803.0,898.0,0
263,1,Earth,True,G,43,P,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
267,1,Earth,False,F,51,S,TRAPPIST-1e,13.0,False,118.0,0.0,0.0,754.0,1.0,873.0,0
269,1,Earth,False,F,52,S,55 Cancri e,47.0,False,0.0,231.0,592.0,0.0,0.0,823.0,1
270,1,Earth,False,F,59,P,TRAPPIST-1e,63.0,False,0.0,25.0,128.0,0.0,1240.0,1393.0,0
277,1,Earth,False,F,61,P,55 Cancri e,50.0,False,44.0,2390.0,0.0,53.0,0.0,2487.0,1
278,2,Earth,False,G,45,P,TRAPPIST-1e,45.0,False,0.0,97.0,0.0,14.0,333.0,444.0,0
281,1,Earth,False,F,63,P,TRAPPIST-1e,19.0,False,0.0,0.0,2078.0,0.0,0.0,2078.0,1
282,1,Earth,False,F,54,S,TRAPPIST-1e,21.0,False,0.0,918.0,0.0,0.0,0.0,918.0,1
283,1,Earth,True,G,46,P,PSO J318.5-22,29.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
283,2,Earth,False,F,64,P,TRAPPIST-1e,22.0,False,146.0,654.0,1.0,0.0,2.0,803.0,1
285,1,Europa,True,E,16,P,TRAPPIST-1e,14.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
285,2,Europa,True,E,16,P,55 Cancri e,42.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
286,1,Earth,False,F,65,P,55 Cancri e,57.0,False,3.0,1281.0,29.0,162.0,13.0,1488.0,0
287,2,Europa,False,B,12,P,TRAPPIST-1e,28.0,False,0.0,587.0,32.0,6.0,1460.0,2085.0,0
288,1,Earth,False,F,55,S,55 Cancri e,19.0,False,0.0,0.0,0.0,0.0,828.0,828.0,0
289,1,Europa,True,C,12,S,55 Cancri e,19.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
290,1,Europa,False,B,7,S,55 Cancri e,26.0,False,0.0,4458.0,0.0,1157.0,262.0,5877.0,1
290,2,Europa,True,B,7,S,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
290,4,Europa,False,B,7,S,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
291,1,Europa,False,D,10,S,TRAPPIST-1e,40.0,False,0.0,6500.0,88.0,1090.0,0.0,7678.0,1
297,1,Earth,False,G,47,P,TRAPPIST-1e,24.0,False,90.0,2.0,1324.0,17.0,0.0,1433.0,1
298,1,Europa,True,A,3,P,55 Cancri e,57.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
302,1,Earth,False,F,67,P,TRAPPIST-1e,23.0,False,0.0,0.0,15.0,0.0,1370.0,1385.0,0
304,1,Europa,False,E,18,S,TRAPPIST-1e,28.0,False,0.0,422.0,0.0,1851.0,5166.0,7439.0,0
305,1,Europa,False,C,7,P,55 Cancri e,23.0,False,0.0,584.0,0.0,20.0,2469.0,3073.0,0
306,1,Earth,False,E,19,S,TRAPPIST-1e,23.0,False,368.0,175.0,259.0,1.0,101.0,904.0,0
307,1,Earth,False,F,59,S,TRAPPIST-1e,18.0,False,0.0,0.0,1359.0,0.0,0.0,1359.0,1
309,1,Earth,False,F,60,S,TRAPPIST-1e,18.0,False,1194.0,0.0,157.0,6.0,0.0,1357.0,0
313,1,Earth,False,F,68,P,PSO J318.5-22,60.0,False,7.0,540.0,1.0,0.0,4.0,552.0,1
313,3,Earth,False,F,68,P,55 Cancri e,49.0,False,331.0,0.0,0.0,318.0,0.0,649.0,1
313,4,Earth,False,G,50,P,55 Cancri e,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
314,1,Earth,False,G,51,P,55 Cancri e,26.0,False,386.0,0.0,74.0,0.0,1330.0,1790.0,0
322,1,Earth,True,G,45,S,PSO J318.5-22,13.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
324,1,Earth,True,G,53,P,55 Cancri e,43.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
326,1,Earth,True,G,47,S,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
330,1,Europa,False,C,14,S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
330,3,Europa,False,C,14,S,TRAPPIST-1e,33.0,False,443.0,317.0,0.0,148.0,1260.0,2168.0,0
331,1,Earth,False,F,72,P,TRAPPIST-1e,25.0,False,0.0,0.0,251.0,0.0,552.0,803.0,0
333,1,Mars,True,F,73,P,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
334,1,Mars,False,F,62,S,TRAPPIST-1e,29.0,False,5715.0,2.0,211.0,1476.0,0.0,7404.0,0
336,1,Earth,False,F,74,P,TRAPPIST-1e,44.0,False,695.0,1.0,16.0,0.0,0.0,712.0,0
337,1,Mars,True,F,63,S,55 Cancri e,2.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
337,2,Mars,False,F,63,S,TRAPPIST-1e,19.0,False,417.0,349.0,634.0,3.0,1057.0,2460.0,1
340,1,Europa,True,B,10,S,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
341,1,Earth,True,G,57,P,PSO J318.5-22,5.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
343,1,Earth,False,F,76,P,PSO J318.5-22,31.0,False,121.0,0.0,0.0,274.0,907.0,1302.0,0
345,1,Mars,True,E,21,S,TRAPPIST-1e,30.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0
346,1,Earth,True,G,59,P,55 Cancri e,15.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1
